signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
SFM_BPSK_000_002_+18dB,dual/train/signals/SFM_BPSK_000_002_+18dB.npy,SFM,BPSK,5,8,18,0.2509540526308106,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_003_-12dB,dual/train/signals/SFM_BPSK_000_003_-12dB.npy,SFM,BPSK,5,8,-12,0.454346496654473,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_003_-09dB,dual/train/signals/SFM_BPSK_000_003_-09dB.npy,SFM,BPSK,5,8,-9,0.454346496654473,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_003_-06dB,dual/train/signals/SFM_BPSK_000_003_-06dB.npy,SFM,BPSK,5,8,-6,0.454346496654473,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_003_-03dB,dual/train/signals/SFM_BPSK_000_003_-03dB.npy,SFM,BPSK,5,8,-3,0.454346496654473,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_003_+00dB,dual/train/signals/SFM_BPSK_000_003_+00dB.npy,SFM,BPSK,5,8,0,0.454346496654473,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_003_+03dB,dual/train/signals/SFM_BPSK_000_003_+03dB.npy,SFM,BPSK,5,8,3,0.454346496654473,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_003_+06dB,dual/train/signals/SFM_BPSK_000_003_+06dB.npy,SFM,BPSK,5,8,6,0.454346496654473,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_003_+09dB,dual/train/signals/SFM_BPSK_000_003_+09dB.npy,SFM,BPSK,5,8,9,0.454346496654473,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_003_+12dB,dual/train/signals/SFM_BPSK_000_003_+12dB.npy,SFM,BPSK,5,8,12,0.454346496654473,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_003_+15dB,dual/train/signals/SFM_BPSK_000_003_+15dB.npy,SFM,BPSK,5,8,15,0.454346496654473,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_003_+18dB,dual/train/signals/SFM_BPSK_000_003_+18dB.npy,SFM,BPSK,5,8,18,0.454346496654473,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_004_-12dB,dual/train/signals/SFM_BPSK_000_004_-12dB.npy,SFM,BPSK,5,8,-12,0.48792527918036444,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_004_-09dB,dual/train/signals/SFM_BPSK_000_004_-09dB.npy,SFM,BPSK,5,8,-9,0.48792527918036444,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_004_-06dB,dual/train/signals/SFM_BPSK_000_004_-06dB.npy,SFM,BPSK,5,8,-6,0.48792527918036444,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_004_-03dB,dual/train/signals/SFM_BPSK_000_004_-03dB.npy,SFM,BPSK,5,8,-3,0.48792527918036444,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_004_+00dB,dual/train/signals/SFM_BPSK_000_004_+00dB.npy,SFM,BPSK,5,8,0,0.48792527918036444,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_004_+03dB,dual/train/signals/SFM_BPSK_000_004_+03dB.npy,SFM,BPSK,5,8,3,0.48792527918036444,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_004_+06dB,dual/train/signals/SFM_BPSK_000_004_+06dB.npy,SFM,BPSK,5,8,6,0.48792527918036444,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_004_+09dB,dual/train/signals/SFM_BPSK_000_004_+09dB.npy,SFM,BPSK,5,8,9,0.48792527918036444,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_004_+12dB,dual/train/signals/SFM_BPSK_000_004_+12dB.npy,SFM,BPSK,5,8,12,0.48792527918036444,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_004_+15dB,dual/train/signals/SFM_BPSK_000_004_+15dB.npy,SFM,BPSK,5,8,15,0.48792527918036444,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_004_+18dB,dual/train/signals/SFM_BPSK_000_004_+18dB.npy,SFM,BPSK,5,8,18,0.48792527918036444,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_005_-12dB,dual/train/signals/SFM_BPSK_000_005_-12dB.npy,SFM,BPSK,5,8,-12,0.2555231356575366,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_005_-09dB,dual/train/signals/SFM_BPSK_000_005_-09dB.npy,SFM,BPSK,5,8,-9,0.2555231356575366,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_005_-06dB,dual/train/signals/SFM_BPSK_000_005_-06dB.npy,SFM,BPSK,5,8,-6,0.2555231356575366,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_005_-03dB,dual/train/signals/SFM_BPSK_000_005_-03dB.npy,SFM,BPSK,5,8,-3,0.2555231356575366,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_005_+00dB,dual/train/signals/SFM_BPSK_000_005_+00dB.npy,SFM,BPSK,5,8,0,0.2555231356575366,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_005_+03dB,dual/train/signals/SFM_BPSK_000_005_+03dB.npy,SFM,BPSK,5,8,3,0.2555231356575366,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_005_+06dB,dual/train/signals/SFM_BPSK_000_005_+06dB.npy,SFM,BPSK,5,8,6,0.2555231356575366,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_005_+09dB,dual/train/signals/SFM_BPSK_000_005_+09dB.npy,SFM,BPSK,5,8,9,0.2555231356575366,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_005_+12dB,dual/train/signals/SFM_BPSK_000_005_+12dB.npy,SFM,BPSK,5,8,12,0.2555231356575366,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_005_+15dB,dual/train/signals/SFM_BPSK_000_005_+15dB.npy,SFM,BPSK,5,8,15,0.2555231356575366,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_005_+18dB,dual/train/signals/SFM_BPSK_000_005_+18dB.npy,SFM,BPSK,5,8,18,0.2555231356575366,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_006_-12dB,dual/train/signals/SFM_BPSK_000_006_-12dB.npy,SFM,BPSK,5,8,-12,0.3606077387689287,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_006_-09dB,dual/train/signals/SFM_BPSK_000_006_-09dB.npy,SFM,BPSK,5,8,-9,0.3606077387689287,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_006_-06dB,dual/train/signals/SFM_BPSK_000_006_-06dB.npy,SFM,BPSK,5,8,-6,0.3606077387689287,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_006_-03dB,dual/train/signals/SFM_BPSK_000_006_-03dB.npy,SFM,BPSK,5,8,-3,0.3606077387689287,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_006_+00dB,dual/train/signals/SFM_BPSK_000_006_+00dB.npy,SFM,BPSK,5,8,0,0.3606077387689287,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_006_+03dB,dual/train/signals/SFM_BPSK_000_006_+03dB.npy,SFM,BPSK,5,8,3,0.3606077387689287,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_006_+06dB,dual/train/signals/SFM_BPSK_000_006_+06dB.npy,SFM,BPSK,5,8,6,0.3606077387689287,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_006_+09dB,dual/train/signals/SFM_BPSK_000_006_+09dB.npy,SFM,BPSK,5,8,9,0.3606077387689287,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_006_+12dB,dual/train/signals/SFM_BPSK_000_006_+12dB.npy,SFM,BPSK,5,8,12,0.3606077387689287,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_006_+15dB,dual/train/signals/SFM_BPSK_000_006_+15dB.npy,SFM,BPSK,5,8,15,0.3606077387689287,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_006_+18dB,dual/train/signals/SFM_BPSK_000_006_+18dB.npy,SFM,BPSK,5,8,18,0.3606077387689287,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_007_-12dB,dual/train/signals/SFM_BPSK_000_007_-12dB.npy,SFM,BPSK,5,8,-12,0.37063598139819937,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_007_-09dB,dual/train/signals/SFM_BPSK_000_007_-09dB.npy,SFM,BPSK,5,8,-9,0.37063598139819937,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_007_-06dB,dual/train/signals/SFM_BPSK_000_007_-06dB.npy,SFM,BPSK,5,8,-6,0.37063598139819937,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_007_-03dB,dual/train/signals/SFM_BPSK_000_007_-03dB.npy,SFM,BPSK,5,8,-3,0.37063598139819937,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_007_+00dB,dual/train/signals/SFM_BPSK_000_007_+00dB.npy,SFM,BPSK,5,8,0,0.37063598139819937,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_007_+03dB,dual/train/signals/SFM_BPSK_000_007_+03dB.npy,SFM,BPSK,5,8,3,0.37063598139819937,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_007_+06dB,dual/train/signals/SFM_BPSK_000_007_+06dB.npy,SFM,BPSK,5,8,6,0.37063598139819937,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_007_+09dB,dual/train/signals/SFM_BPSK_000_007_+09dB.npy,SFM,BPSK,5,8,9,0.37063598139819937,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_007_+12dB,dual/train/signals/SFM_BPSK_000_007_+12dB.npy,SFM,BPSK,5,8,12,0.37063598139819937,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_007_+15dB,dual/train/signals/SFM_BPSK_000_007_+15dB.npy,SFM,BPSK,5,8,15,0.37063598139819937,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_007_+18dB,dual/train/signals/SFM_BPSK_000_007_+18dB.npy,SFM,BPSK,5,8,18,0.37063598139819937,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_008_-12dB,dual/train/signals/SFM_BPSK_000_008_-12dB.npy,SFM,BPSK,5,8,-12,0.33116136382037875,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_008_-09dB,dual/train/signals/SFM_BPSK_000_008_-09dB.npy,SFM,BPSK,5,8,-9,0.33116136382037875,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_008_-06dB,dual/train/signals/SFM_BPSK_000_008_-06dB.npy,SFM,BPSK,5,8,-6,0.33116136382037875,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_008_-03dB,dual/train/signals/SFM_BPSK_000_008_-03dB.npy,SFM,BPSK,5,8,-3,0.33116136382037875,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_008_+00dB,dual/train/signals/SFM_BPSK_000_008_+00dB.npy,SFM,BPSK,5,8,0,0.33116136382037875,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_008_+03dB,dual/train/signals/SFM_BPSK_000_008_+03dB.npy,SFM,BPSK,5,8,3,0.33116136382037875,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_008_+06dB,dual/train/signals/SFM_BPSK_000_008_+06dB.npy,SFM,BPSK,5,8,6,0.33116136382037875,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_008_+09dB,dual/train/signals/SFM_BPSK_000_008_+09dB.npy,SFM,BPSK,5,8,9,0.33116136382037875,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_008_+12dB,dual/train/signals/SFM_BPSK_000_008_+12dB.npy,SFM,BPSK,5,8,12,0.33116136382037875,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_008_+15dB,dual/train/signals/SFM_BPSK_000_008_+15dB.npy,SFM,BPSK,5,8,15,0.33116136382037875,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_008_+18dB,dual/train/signals/SFM_BPSK_000_008_+18dB.npy,SFM,BPSK,5,8,18,0.33116136382037875,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_009_-12dB,dual/train/signals/SFM_BPSK_000_009_-12dB.npy,SFM,BPSK,5,8,-12,0.3528528538506197,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_009_-09dB,dual/train/signals/SFM_BPSK_000_009_-09dB.npy,SFM,BPSK,5,8,-9,0.3528528538506197,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_009_-06dB,dual/train/signals/SFM_BPSK_000_009_-06dB.npy,SFM,BPSK,5,8,-6,0.3528528538506197,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_009_-03dB,dual/train/signals/SFM_BPSK_000_009_-03dB.npy,SFM,BPSK,5,8,-3,0.3528528538506197,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_009_+00dB,dual/train/signals/SFM_BPSK_000_009_+00dB.npy,SFM,BPSK,5,8,0,0.3528528538506197,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_009_+03dB,dual/train/signals/SFM_BPSK_000_009_+03dB.npy,SFM,BPSK,5,8,3,0.3528528538506197,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_009_+06dB,dual/train/signals/SFM_BPSK_000_009_+06dB.npy,SFM,BPSK,5,8,6,0.3528528538506197,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_009_+09dB,dual/train/signals/SFM_BPSK_000_009_+09dB.npy,SFM,BPSK,5,8,9,0.3528528538506197,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_009_+12dB,dual/train/signals/SFM_BPSK_000_009_+12dB.npy,SFM,BPSK,5,8,12,0.3528528538506197,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
SFM_BPSK_000_009_+15dB,dual/train/signals/SFM_BPSK_000_009_+15dB.npy,SFM,BPSK,5,8,15,0.3528528538506197,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
