signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
NM_NM_000_000_-21dB,dual/test/signals/NM_NM_000_000_-21dB.npy,NM,NM,0,0,-21,0.4416977581063014,1,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_NM_000_000_-18dB,dual/test/signals/NM_NM_000_000_-18dB.npy,NM,NM,0,0,-18,0.4416977581063014,1,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_NM_000_000_-15dB,dual/test/signals/NM_NM_000_000_-15dB.npy,NM,NM,0,0,-15,0.4416977581063014,1,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_NM_000_000_-12dB,dual/test/signals/NM_NM_000_000_-12dB.npy,NM,NM,0,0,-12,0.4416977581063014,1,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_NM_000_000_-09dB,dual/test/signals/NM_NM_000_000_-09dB.npy,NM,NM,0,0,-9,0.4416977581063014,1,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_NM_000_000_-06dB,dual/test/signals/NM_NM_000_000_-06dB.npy,NM,NM,0,0,-6,0.4416977581063014,1,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_NM_000_000_-03dB,dual/test/signals/NM_NM_000_000_-03dB.npy,NM,NM,0,0,-3,0.4416977581063014,1,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_NM_000_000_+00dB,dual/test/signals/NM_NM_000_000_+00dB.npy,NM,NM,0,0,0,0.4416977581063014,1,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_NM_000_000_+03dB,dual/test/signals/NM_NM_000_000_+03dB.npy,NM,NM,0,0,3,0.4416977581063014,1,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_NM_000_000_+06dB,dual/test/signals/NM_NM_000_000_+06dB.npy,NM,NM,0,0,6,0.4416977581063014,1,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_NM_000_000_+09dB,dual/test/signals/NM_NM_000_000_+09dB.npy,NM,NM,0,0,9,0.4416977581063014,1,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_NM_000_000_+12dB,dual/test/signals/NM_NM_000_000_+12dB.npy,NM,NM,0,0,12,0.4416977581063014,1,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_NM_000_000_+15dB,dual/test/signals/NM_NM_000_000_+15dB.npy,NM,NM,0,0,15,0.4416977581063014,1,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_NM_000_000_+18dB,dual/test/signals/NM_NM_000_000_+18dB.npy,NM,NM,0,0,18,0.4416977581063014,1,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_NM_000_001_-21dB,dual/test/signals/NM_NM_000_001_-21dB.npy,NM,NM,0,0,-21,0.2567102477033978,1,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_NM_000_001_-18dB,dual/test/signals/NM_NM_000_001_-18dB.npy,NM,NM,0,0,-18,0.2567102477033978,1,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_NM_000_001_-15dB,dual/test/signals/NM_NM_000_001_-15dB.npy,NM,NM,0,0,-15,0.2567102477033978,1,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
