signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
MLFM_EQFM_000_000_-21dB,dual/test/signals/MLFM_EQFM_000_000_-21dB.npy,MLFM,EQFM,3,4,-21,0.4817638795311251,1,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_EQFM_000_000_-18dB,dual/test/signals/MLFM_EQFM_000_000_-18dB.npy,MLFM,EQFM,3,4,-18,0.4817638795311251,1,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_EQFM_000_000_-15dB,dual/test/signals/MLFM_EQFM_000_000_-15dB.npy,MLFM,EQFM,3,4,-15,0.4817638795311251,1,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_EQFM_000_000_-12dB,dual/test/signals/MLFM_EQFM_000_000_-12dB.npy,MLFM,EQFM,3,4,-12,0.4817638795311251,1,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_EQFM_000_000_-09dB,dual/test/signals/MLFM_EQFM_000_000_-09dB.npy,MLFM,EQFM,3,4,-9,0.4817638795311251,1,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_EQFM_000_000_-06dB,dual/test/signals/MLFM_EQFM_000_000_-06dB.npy,MLFM,EQFM,3,4,-6,0.4817638795311251,1,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_EQFM_000_000_-03dB,dual/test/signals/MLFM_EQFM_000_000_-03dB.npy,MLFM,EQFM,3,4,-3,0.4817638795311251,1,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_EQFM_000_000_+00dB,dual/test/signals/MLFM_EQFM_000_000_+00dB.npy,MLFM,EQFM,3,4,0,0.4817638795311251,1,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_EQFM_000_000_+03dB,dual/test/signals/MLFM_EQFM_000_000_+03dB.npy,MLFM,EQFM,3,4,3,0.4817638795311251,1,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_EQFM_000_000_+06dB,dual/test/signals/MLFM_EQFM_000_000_+06dB.npy,MLFM,EQFM,3,4,6,0.4817638795311251,1,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_EQFM_000_000_+09dB,dual/test/signals/MLFM_EQFM_000_000_+09dB.npy,MLFM,EQFM,3,4,9,0.4817638795311251,1,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_EQFM_000_000_+12dB,dual/test/signals/MLFM_EQFM_000_000_+12dB.npy,MLFM,EQFM,3,4,12,0.4817638795311251,1,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
