signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
EQFM_BPSK_000_000_-21dB,dual/test/signals/EQFM_BPSK_000_000_-21dB.npy,EQFM,BPSK,4,8,-21,0.4424268400810209,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BPSK_000_000_-18dB,dual/test/signals/EQFM_BPSK_000_000_-18dB.npy,EQFM,BPSK,4,8,-18,0.4424268400810209,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BPSK_000_000_-15dB,dual/test/signals/EQFM_BPSK_000_000_-15dB.npy,EQFM,BPSK,4,8,-15,0.4424268400810209,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BPSK_000_000_-12dB,dual/test/signals/EQFM_BPSK_000_000_-12dB.npy,EQFM,BPSK,4,8,-12,0.4424268400810209,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BPSK_000_000_-09dB,dual/test/signals/EQFM_BPSK_000_000_-09dB.npy,EQFM,BPSK,4,8,-9,0.4424268400810209,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BPSK_000_000_-06dB,dual/test/signals/EQFM_BPSK_000_000_-06dB.npy,EQFM,BPSK,4,8,-6,0.4424268400810209,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BPSK_000_000_-03dB,dual/test/signals/EQFM_BPSK_000_000_-03dB.npy,EQFM,BPSK,4,8,-3,0.4424268400810209,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BPSK_000_000_+00dB,dual/test/signals/EQFM_BPSK_000_000_+00dB.npy,EQFM,BPSK,4,8,0,0.4424268400810209,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BPSK_000_000_+03dB,dual/test/signals/EQFM_BPSK_000_000_+03dB.npy,EQFM,BPSK,4,8,3,0.4424268400810209,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BPSK_000_000_+06dB,dual/test/signals/EQFM_BPSK_000_000_+06dB.npy,EQFM,BPSK,4,8,6,0.4424268400810209,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BPSK_000_000_+09dB,dual/test/signals/EQFM_BPSK_000_000_+09dB.npy,EQFM,BPSK,4,8,9,0.4424268400810209,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BPSK_000_000_+12dB,dual/test/signals/EQFM_BPSK_000_000_+12dB.npy,EQFM,BPSK,4,8,12,0.4424268400810209,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BPSK_000_000_+15dB,dual/test/signals/EQFM_BPSK_000_000_+15dB.npy,EQFM,BPSK,4,8,15,0.4424268400810209,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BPSK_000_000_+18dB,dual/test/signals/EQFM_BPSK_000_000_+18dB.npy,EQFM,BPSK,4,8,18,0.4424268400810209,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BPSK_000_001_-21dB,dual/test/signals/EQFM_BPSK_000_001_-21dB.npy,EQFM,BPSK,4,8,-21,0.45066943076391863,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BPSK_000_001_-18dB,dual/test/signals/EQFM_BPSK_000_001_-18dB.npy,EQFM,BPSK,4,8,-18,0.45066943076391863,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BPSK_000_001_-15dB,dual/test/signals/EQFM_BPSK_000_001_-15dB.npy,EQFM,BPSK,4,8,-15,0.45066943076391863,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BPSK_000_001_-12dB,dual/test/signals/EQFM_BPSK_000_001_-12dB.npy,EQFM,BPSK,4,8,-12,0.45066943076391863,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BPSK_000_001_-09dB,dual/test/signals/EQFM_BPSK_000_001_-09dB.npy,EQFM,BPSK,4,8,-9,0.45066943076391863,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
