signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
QFSK_LFM_BPSK_000_000_-21dB,dual/test/signals/QFSK_LFM_BPSK_000_000_-21dB.npy,QFSK,LFM_BPSK,7,14,-21,0.4026813848100734,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
QFSK_LFM_BPSK_000_000_-18dB,dual/test/signals/QFSK_LFM_BPSK_000_000_-18dB.npy,QFSK,LFM_BPSK,7,14,-18,0.4026813848100734,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
QFSK_LFM_BPSK_000_000_-15dB,dual/test/signals/QFSK_LFM_BPSK_000_000_-15dB.npy,QFSK,LFM_BPSK,7,14,-15,0.4026813848100734,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
QFSK_LFM_BPSK_000_000_-12dB,dual/test/signals/QFSK_LFM_BPSK_000_000_-12dB.npy,QFSK,LFM_BPSK,7,14,-12,0.4026813848100734,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
QFSK_LFM_BPSK_000_000_-09dB,dual/test/signals/QFSK_LFM_BPSK_000_000_-09dB.npy,QFSK,LFM_BPSK,7,14,-9,0.4026813848100734,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
QFSK_LFM_BPSK_000_000_-06dB,dual/test/signals/QFSK_LFM_BPSK_000_000_-06dB.npy,QFSK,LFM_BPSK,7,14,-6,0.4026813848100734,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
QFSK_LFM_BPSK_000_000_-03dB,dual/test/signals/QFSK_LFM_BPSK_000_000_-03dB.npy,QFSK,LFM_BPSK,7,14,-3,0.4026813848100734,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
QFSK_LFM_BPSK_000_000_+00dB,dual/test/signals/QFSK_LFM_BPSK_000_000_+00dB.npy,QFSK,LFM_BPSK,7,14,0,0.4026813848100734,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
QFSK_LFM_BPSK_000_000_+03dB,dual/test/signals/QFSK_LFM_BPSK_000_000_+03dB.npy,QFSK,LFM_BPSK,7,14,3,0.4026813848100734,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
QFSK_LFM_BPSK_000_000_+06dB,dual/test/signals/QFSK_LFM_BPSK_000_000_+06dB.npy,QFSK,LFM_BPSK,7,14,6,0.4026813848100734,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
QFSK_LFM_BPSK_000_000_+09dB,dual/test/signals/QFSK_LFM_BPSK_000_000_+09dB.npy,QFSK,LFM_BPSK,7,14,9,0.4026813848100734,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
QFSK_LFM_BPSK_000_000_+12dB,dual/test/signals/QFSK_LFM_BPSK_000_000_+12dB.npy,QFSK,LFM_BPSK,7,14,12,0.4026813848100734,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
QFSK_LFM_BPSK_000_000_+15dB,dual/test/signals/QFSK_LFM_BPSK_000_000_+15dB.npy,QFSK,LFM_BPSK,7,14,15,0.4026813848100734,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
QFSK_LFM_BPSK_000_000_+18dB,dual/test/signals/QFSK_LFM_BPSK_000_000_+18dB.npy,QFSK,LFM_BPSK,7,14,18,0.4026813848100734,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
QFSK_LFM_BPSK_000_001_-21dB,dual/test/signals/QFSK_LFM_BPSK_000_001_-21dB.npy,QFSK,LFM_BPSK,7,14,-21,0.2913748890525285,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
QFSK_LFM_BPSK_000_001_-18dB,dual/test/signals/QFSK_LFM_BPSK_000_001_-18dB.npy,QFSK,LFM_BPSK,7,14,-18,0.2913748890525285,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
QFSK_LFM_BPSK_000_001_-15dB,dual/test/signals/QFSK_LFM_BPSK_000_001_-15dB.npy,QFSK,LFM_BPSK,7,14,-15,0.2913748890525285,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
QFSK_LFM_BPSK_000_001_-12dB,dual/test/signals/QFSK_LFM_BPSK_000_001_-12dB.npy,QFSK,LFM_BPSK,7,14,-12,0.2913748890525285,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
QFSK_LFM_BPSK_000_001_-09dB,dual/test/signals/QFSK_LFM_BPSK_000_001_-09dB.npy,QFSK,LFM_BPSK,7,14,-9,0.2913748890525285,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
QFSK_LFM_BPSK_000_001_-06dB,dual/test/signals/QFSK_LFM_BPSK_000_001_-06dB.npy,QFSK,LFM_BPSK,7,14,-6,0.2913748890525285,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
QFSK_LFM_BPSK_000_001_-03dB,dual/test/signals/QFSK_LFM_BPSK_000_001_-03dB.npy,QFSK,LFM_BPSK,7,14,-3,0.2913748890525285,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
