signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
SFM_P2_000_000_-21dB,dual/test/signals/SFM_P2_000_000_-21dB.npy,SFM,P2,5,11,-21,0.32013591285722864,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
SFM_P2_000_000_-18dB,dual/test/signals/SFM_P2_000_000_-18dB.npy,SFM,P2,5,11,-18,0.32013591285722864,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
SFM_P2_000_000_-15dB,dual/test/signals/SFM_P2_000_000_-15dB.npy,SFM,P2,5,11,-15,0.32013591285722864,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
SFM_P2_000_000_-12dB,dual/test/signals/SFM_P2_000_000_-12dB.npy,SFM,P2,5,11,-12,0.32013591285722864,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
SFM_P2_000_000_-09dB,dual/test/signals/SFM_P2_000_000_-09dB.npy,SFM,P2,5,11,-9,0.32013591285722864,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
SFM_P2_000_000_-06dB,dual/test/signals/SFM_P2_000_000_-06dB.npy,SFM,P2,5,11,-6,0.32013591285722864,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
SFM_P2_000_000_-03dB,dual/test/signals/SFM_P2_000_000_-03dB.npy,SFM,P2,5,11,-3,0.32013591285722864,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
SFM_P2_000_000_+00dB,dual/test/signals/SFM_P2_000_000_+00dB.npy,SFM,P2,5,11,0,0.32013591285722864,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
SFM_P2_000_000_+03dB,dual/test/signals/SFM_P2_000_000_+03dB.npy,SFM,P2,5,11,3,0.32013591285722864,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
SFM_P2_000_000_+06dB,dual/test/signals/SFM_P2_000_000_+06dB.npy,SFM,P2,5,11,6,0.32013591285722864,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
SFM_P2_000_000_+09dB,dual/test/signals/SFM_P2_000_000_+09dB.npy,SFM,P2,5,11,9,0.32013591285722864,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
