signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
LFM_LFM_000_000_-21dB,dual/test/signals/LFM_LFM_000_000_-21dB.npy,LFM,LFM,1,1,-21,0.302052152627771,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_000_-18dB,dual/test/signals/LFM_LFM_000_000_-18dB.npy,LFM,LFM,1,1,-18,0.302052152627771,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_000_-15dB,dual/test/signals/LFM_LFM_000_000_-15dB.npy,LFM,LFM,1,1,-15,0.302052152627771,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_000_-12dB,dual/test/signals/LFM_LFM_000_000_-12dB.npy,LFM,LFM,1,1,-12,0.302052152627771,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_000_-09dB,dual/test/signals/LFM_LFM_000_000_-09dB.npy,LFM,LFM,1,1,-9,0.302052152627771,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_000_-06dB,dual/test/signals/LFM_LFM_000_000_-06dB.npy,LFM,LFM,1,1,-6,0.302052152627771,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_000_-03dB,dual/test/signals/LFM_LFM_000_000_-03dB.npy,LFM,LFM,1,1,-3,0.302052152627771,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_000_+00dB,dual/test/signals/LFM_LFM_000_000_+00dB.npy,LFM,LFM,1,1,0,0.302052152627771,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_000_+03dB,dual/test/signals/LFM_LFM_000_000_+03dB.npy,LFM,LFM,1,1,3,0.302052152627771,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_000_+06dB,dual/test/signals/LFM_LFM_000_000_+06dB.npy,LFM,LFM,1,1,6,0.302052152627771,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
