signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
BPSK_P4_000_000_-21dB,dual/test/signals/BPSK_P4_000_000_-21dB.npy,BPSK,P4,8,13,-21,0.34978227045878824,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
BPSK_P4_000_000_-18dB,dual/test/signals/BPSK_P4_000_000_-18dB.npy,BPSK,P4,8,13,-18,0.34978227045878824,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
BPSK_P4_000_000_-15dB,dual/test/signals/BPSK_P4_000_000_-15dB.npy,BPSK,P4,8,13,-15,0.34978227045878824,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
BPSK_P4_000_000_-12dB,dual/test/signals/BPSK_P4_000_000_-12dB.npy,BPSK,P4,8,13,-12,0.34978227045878824,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
BPSK_P4_000_000_-09dB,dual/test/signals/BPSK_P4_000_000_-09dB.npy,BPSK,P4,8,13,-9,0.34978227045878824,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
BPSK_P4_000_000_-06dB,dual/test/signals/BPSK_P4_000_000_-06dB.npy,BPSK,P4,8,13,-6,0.34978227045878824,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
BPSK_P4_000_000_-03dB,dual/test/signals/BPSK_P4_000_000_-03dB.npy,BPSK,P4,8,13,-3,0.34978227045878824,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
BPSK_P4_000_000_+00dB,dual/test/signals/BPSK_P4_000_000_+00dB.npy,BPSK,P4,8,13,0,0.34978227045878824,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
BPSK_P4_000_000_+03dB,dual/test/signals/BPSK_P4_000_000_+03dB.npy,BPSK,P4,8,13,3,0.34978227045878824,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
BPSK_P4_000_000_+06dB,dual/test/signals/BPSK_P4_000_000_+06dB.npy,BPSK,P4,8,13,6,0.34978227045878824,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
BPSK_P4_000_000_+09dB,dual/test/signals/BPSK_P4_000_000_+09dB.npy,BPSK,P4,8,13,9,0.34978227045878824,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
BPSK_P4_000_000_+12dB,dual/test/signals/BPSK_P4_000_000_+12dB.npy,BPSK,P4,8,13,12,0.34978227045878824,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
BPSK_P4_000_000_+15dB,dual/test/signals/BPSK_P4_000_000_+15dB.npy,BPSK,P4,8,13,15,0.34978227045878824,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
BPSK_P4_000_000_+18dB,dual/test/signals/BPSK_P4_000_000_+18dB.npy,BPSK,P4,8,13,18,0.34978227045878824,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
BPSK_P4_000_001_-21dB,dual/test/signals/BPSK_P4_000_001_-21dB.npy,BPSK,P4,8,13,-21,0.34784511747824903,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
BPSK_P4_000_001_-18dB,dual/test/signals/BPSK_P4_000_001_-18dB.npy,BPSK,P4,8,13,-18,0.34784511747824903,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
BPSK_P4_000_001_-15dB,dual/test/signals/BPSK_P4_000_001_-15dB.npy,BPSK,P4,8,13,-15,0.34784511747824903,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
BPSK_P4_000_001_-12dB,dual/test/signals/BPSK_P4_000_001_-12dB.npy,BPSK,P4,8,13,-12,0.34784511747824903,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
BPSK_P4_000_001_-09dB,dual/test/signals/BPSK_P4_000_001_-09dB.npy,BPSK,P4,8,13,-9,0.34784511747824903,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
BPSK_P4_000_001_-06dB,dual/test/signals/BPSK_P4_000_001_-06dB.npy,BPSK,P4,8,13,-6,0.34784511747824903,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
BPSK_P4_000_001_-03dB,dual/test/signals/BPSK_P4_000_001_-03dB.npy,BPSK,P4,8,13,-3,0.34784511747824903,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
BPSK_P4_000_001_+00dB,dual/test/signals/BPSK_P4_000_001_+00dB.npy,BPSK,P4,8,13,0,0.34784511747824903,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
BPSK_P4_000_001_+03dB,dual/test/signals/BPSK_P4_000_001_+03dB.npy,BPSK,P4,8,13,3,0.34784511747824903,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
BPSK_P4_000_001_+06dB,dual/test/signals/BPSK_P4_000_001_+06dB.npy,BPSK,P4,8,13,6,0.34784511747824903,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
BPSK_P4_000_001_+09dB,dual/test/signals/BPSK_P4_000_001_+09dB.npy,BPSK,P4,8,13,9,0.34784511747824903,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
BPSK_P4_000_001_+12dB,dual/test/signals/BPSK_P4_000_001_+12dB.npy,BPSK,P4,8,13,12,0.34784511747824903,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]"
