signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
BPSK_BPSK_000_000_-21dB,dual/test/signals/BPSK_BPSK_000_000_-21dB.npy,BPSK,BPSK,8,8,-21,0.4856613823501296,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BPSK_BPSK_000_000_-12dB,dual/test/signals/BPSK_BPSK_000_000_-12dB.npy,BPSK,BPSK,8,8,-12,0.4856613823501296,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BPSK_BPSK_000_000_-06dB,dual/test/signals/BPSK_BPSK_000_000_-06dB.npy,BPSK,BPSK,8,8,-6,0.4856613823501296,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BPSK_BPSK_000_000_+00dB,dual/test/signals/BPSK_BPSK_000_000_+00dB.npy,BPSK,BPSK,8,8,0,0.4856613823501296,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BPSK_BPSK_000_000_+06dB,dual/test/signals/BPSK_BPSK_000_000_+06dB.npy,BPSK,BPSK,8,8,6,0.4856613823501296,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BPSK_BPSK_000_000_+12dB,dual/test/signals/BPSK_BPSK_000_000_+12dB.npy,BPSK,BPSK,8,8,12,0.4856613823501296,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BPSK_BPSK_000_000_+18dB,dual/test/signals/BPSK_BPSK_000_000_+18dB.npy,BPSK,BPSK,8,8,18,0.4856613823501296,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BPSK_BPSK_000_001_-21dB,dual/test/signals/BPSK_BPSK_000_001_-21dB.npy,BPSK,BPSK,8,8,-21,0.3949289250057645,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BPSK_BPSK_000_001_-12dB,dual/test/signals/BPSK_BPSK_000_001_-12dB.npy,BPSK,BPSK,8,8,-12,0.3949289250057645,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BPSK_BPSK_000_001_-06dB,dual/test/signals/BPSK_BPSK_000_001_-06dB.npy,BPSK,BPSK,8,8,-6,0.3949289250057645,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BPSK_BPSK_000_001_+00dB,dual/test/signals/BPSK_BPSK_000_001_+00dB.npy,BPSK,BPSK,8,8,0,0.3949289250057645,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
BPSK_BPSK_000_001_+06dB,dual/test/signals/BPSK_BPSK_000_001_+06dB.npy,BPSK,BPSK,8,8,6,0.3949289250057645,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
