signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
EQFM_0000_-21dB,single/test/signals/EQFM_0000_-21dB.npy,EQFM,4,-21,"{'fmin': 0.10930667413488852, 'delta_f': 0.06974270674447643}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_-18dB,single/test/signals/EQFM_0000_-18dB.npy,EQFM,4,-18,"{'fmin': 0.10930667413488852, 'delta_f': 0.06974270674447643}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_-15dB,single/test/signals/EQFM_0000_-15dB.npy,EQFM,4,-15,"{'fmin': 0.10930667413488852, 'delta_f': 0.06974270674447643}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_-12dB,single/test/signals/EQFM_0000_-12dB.npy,EQFM,4,-12,"{'fmin': 0.10930667413488852, 'delta_f': 0.06974270674447643}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_-09dB,single/test/signals/EQFM_0000_-09dB.npy,EQFM,4,-9,"{'fmin': 0.10930667413488852, 'delta_f': 0.06974270674447643}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_-06dB,single/test/signals/EQFM_0000_-06dB.npy,EQFM,4,-6,"{'fmin': 0.10930667413488852, 'delta_f': 0.06974270674447643}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_-03dB,single/test/signals/EQFM_0000_-03dB.npy,EQFM,4,-3,"{'fmin': 0.10930667413488852, 'delta_f': 0.06974270674447643}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_+00dB,single/test/signals/EQFM_0000_+00dB.npy,EQFM,4,0,"{'fmin': 0.10930667413488852, 'delta_f': 0.06974270674447643}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_+03dB,single/test/signals/EQFM_0000_+03dB.npy,EQFM,4,3,"{'fmin': 0.10930667413488852, 'delta_f': 0.06974270674447643}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_+06dB,single/test/signals/EQFM_0000_+06dB.npy,EQFM,4,6,"{'fmin': 0.10930667413488852, 'delta_f': 0.06974270674447643}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_+09dB,single/test/signals/EQFM_0000_+09dB.npy,EQFM,4,9,"{'fmin': 0.10930667413488852, 'delta_f': 0.06974270674447643}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_+12dB,single/test/signals/EQFM_0000_+12dB.npy,EQFM,4,12,"{'fmin': 0.10930667413488852, 'delta_f': 0.06974270674447643}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_+15dB,single/test/signals/EQFM_0000_+15dB.npy,EQFM,4,15,"{'fmin': 0.10930667413488852, 'delta_f': 0.06974270674447643}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_+18dB,single/test/signals/EQFM_0000_+18dB.npy,EQFM,4,18,"{'fmin': 0.10930667413488852, 'delta_f': 0.06974270674447643}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
