signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
SFM_Frank_000_000_-12dB,dual/val/signals/SFM_Frank_000_000_-12dB.npy,SFM,Frank,5,9,-12,0.3645561267255906,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_000_-09dB,dual/val/signals/SFM_Frank_000_000_-09dB.npy,SFM,Frank,5,9,-9,0.3645561267255906,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_000_-06dB,dual/val/signals/SFM_Frank_000_000_-06dB.npy,SFM,Frank,5,9,-6,0.3645561267255906,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_000_-03dB,dual/val/signals/SFM_Frank_000_000_-03dB.npy,SFM,Frank,5,9,-3,0.3645561267255906,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_000_+00dB,dual/val/signals/SFM_Frank_000_000_+00dB.npy,SFM,Frank,5,9,0,0.3645561267255906,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_000_+03dB,dual/val/signals/SFM_Frank_000_000_+03dB.npy,SFM,Frank,5,9,3,0.3645561267255906,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_000_+06dB,dual/val/signals/SFM_Frank_000_000_+06dB.npy,SFM,Frank,5,9,6,0.3645561267255906,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_000_+09dB,dual/val/signals/SFM_Frank_000_000_+09dB.npy,SFM,Frank,5,9,9,0.3645561267255906,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_000_+12dB,dual/val/signals/SFM_Frank_000_000_+12dB.npy,SFM,Frank,5,9,12,0.3645561267255906,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_000_+15dB,dual/val/signals/SFM_Frank_000_000_+15dB.npy,SFM,Frank,5,9,15,0.3645561267255906,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_000_+18dB,dual/val/signals/SFM_Frank_000_000_+18dB.npy,SFM,Frank,5,9,18,0.3645561267255906,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_001_-12dB,dual/val/signals/SFM_Frank_000_001_-12dB.npy,SFM,Frank,5,9,-12,0.40750769768175676,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SFM_Frank_000_001_-09dB,dual/val/signals/SFM_Frank_000_001_-09dB.npy,SFM,Frank,5,9,-9,0.40750769768175676,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
