signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
P3_P4_000_000_-12dB,dual/val/signals/P3_P4_000_000_-12dB.npy,P3,P4,12,13,-12,0.3597772175484726,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
P3_P4_000_000_-09dB,dual/val/signals/P3_P4_000_000_-09dB.npy,P3,P4,12,13,-9,0.3597772175484726,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
P3_P4_000_000_-06dB,dual/val/signals/P3_P4_000_000_-06dB.npy,P3,P4,12,13,-6,0.3597772175484726,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
P3_P4_000_000_-03dB,dual/val/signals/P3_P4_000_000_-03dB.npy,P3,P4,12,13,-3,0.3597772175484726,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
P3_P4_000_000_+00dB,dual/val/signals/P3_P4_000_000_+00dB.npy,P3,P4,12,13,0,0.3597772175484726,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
P3_P4_000_000_+03dB,dual/val/signals/P3_P4_000_000_+03dB.npy,P3,P4,12,13,3,0.3597772175484726,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
P3_P4_000_000_+06dB,dual/val/signals/P3_P4_000_000_+06dB.npy,P3,P4,12,13,6,0.3597772175484726,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
P3_P4_000_000_+09dB,dual/val/signals/P3_P4_000_000_+09dB.npy,P3,P4,12,13,9,0.3597772175484726,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
P3_P4_000_000_+12dB,dual/val/signals/P3_P4_000_000_+12dB.npy,P3,P4,12,13,12,0.3597772175484726,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
P3_P4_000_000_+15dB,dual/val/signals/P3_P4_000_000_+15dB.npy,P3,P4,12,13,15,0.3597772175484726,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
P3_P4_000_000_+18dB,dual/val/signals/P3_P4_000_000_+18dB.npy,P3,P4,12,13,18,0.3597772175484726,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
P3_P4_000_001_-12dB,dual/val/signals/P3_P4_000_001_-12dB.npy,P3,P4,12,13,-12,0.49805425310259854,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
P3_P4_000_001_-09dB,dual/val/signals/P3_P4_000_001_-09dB.npy,P3,P4,12,13,-9,0.49805425310259854,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
P3_P4_000_001_-06dB,dual/val/signals/P3_P4_000_001_-06dB.npy,P3,P4,12,13,-6,0.49805425310259854,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
