signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
LFM_LFM_000_000_-12dB,dual/val/signals/LFM_LFM_000_000_-12dB.npy,LFM,LFM,1,1,-12,0.36239430787852234,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_000_-09dB,dual/val/signals/LFM_LFM_000_000_-09dB.npy,LFM,LFM,1,1,-9,0.36239430787852234,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_000_-06dB,dual/val/signals/LFM_LFM_000_000_-06dB.npy,LFM,LFM,1,1,-6,0.36239430787852234,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_000_-03dB,dual/val/signals/LFM_LFM_000_000_-03dB.npy,LFM,LFM,1,1,-3,0.36239430787852234,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_000_+00dB,dual/val/signals/LFM_LFM_000_000_+00dB.npy,LFM,LFM,1,1,0,0.36239430787852234,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_000_+03dB,dual/val/signals/LFM_LFM_000_000_+03dB.npy,LFM,LFM,1,1,3,0.36239430787852234,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_000_+06dB,dual/val/signals/LFM_LFM_000_000_+06dB.npy,LFM,LFM,1,1,6,0.36239430787852234,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_000_+09dB,dual/val/signals/LFM_LFM_000_000_+09dB.npy,LFM,LFM,1,1,9,0.36239430787852234,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_000_+12dB,dual/val/signals/LFM_LFM_000_000_+12dB.npy,LFM,LFM,1,1,12,0.36239430787852234,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_000_+15dB,dual/val/signals/LFM_LFM_000_000_+15dB.npy,LFM,LFM,1,1,15,0.36239430787852234,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_000_+18dB,dual/val/signals/LFM_LFM_000_000_+18dB.npy,LFM,LFM,1,1,18,0.36239430787852234,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_001_-12dB,dual/val/signals/LFM_LFM_000_001_-12dB.npy,LFM,LFM,1,1,-12,0.4294902182717058,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_001_-09dB,dual/val/signals/LFM_LFM_000_001_-09dB.npy,LFM,LFM,1,1,-9,0.4294902182717058,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_001_-06dB,dual/val/signals/LFM_LFM_000_001_-06dB.npy,LFM,LFM,1,1,-6,0.4294902182717058,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_001_-03dB,dual/val/signals/LFM_LFM_000_001_-03dB.npy,LFM,LFM,1,1,-3,0.4294902182717058,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_001_+00dB,dual/val/signals/LFM_LFM_000_001_+00dB.npy,LFM,LFM,1,1,0,0.4294902182717058,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_001_+03dB,dual/val/signals/LFM_LFM_000_001_+03dB.npy,LFM,LFM,1,1,3,0.4294902182717058,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_001_+06dB,dual/val/signals/LFM_LFM_000_001_+06dB.npy,LFM,LFM,1,1,6,0.4294902182717058,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_001_+09dB,dual/val/signals/LFM_LFM_000_001_+09dB.npy,LFM,LFM,1,1,9,0.4294902182717058,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_001_+12dB,dual/val/signals/LFM_LFM_000_001_+12dB.npy,LFM,LFM,1,1,12,0.4294902182717058,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_001_+15dB,dual/val/signals/LFM_LFM_000_001_+15dB.npy,LFM,LFM,1,1,15,0.4294902182717058,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_001_+18dB,dual/val/signals/LFM_LFM_000_001_+18dB.npy,LFM,LFM,1,1,18,0.4294902182717058,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_002_-12dB,dual/val/signals/LFM_LFM_000_002_-12dB.npy,LFM,LFM,1,1,-12,0.3730888995647498,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_002_-09dB,dual/val/signals/LFM_LFM_000_002_-09dB.npy,LFM,LFM,1,1,-9,0.3730888995647498,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_002_-06dB,dual/val/signals/LFM_LFM_000_002_-06dB.npy,LFM,LFM,1,1,-6,0.3730888995647498,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
