signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
EQFM_BFSK_000_000_-12dB,dual/val/signals/EQFM_BFSK_000_000_-12dB.npy,EQFM,BFSK,4,6,-12,0.25102957420226935,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_000_-09dB,dual/val/signals/EQFM_BFSK_000_000_-09dB.npy,EQFM,BFSK,4,6,-9,0.25102957420226935,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_000_-06dB,dual/val/signals/EQFM_BFSK_000_000_-06dB.npy,EQFM,BFSK,4,6,-6,0.25102957420226935,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_000_-03dB,dual/val/signals/EQFM_BFSK_000_000_-03dB.npy,EQFM,BFSK,4,6,-3,0.25102957420226935,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_000_+00dB,dual/val/signals/EQFM_BFSK_000_000_+00dB.npy,EQFM,BFSK,4,6,0,0.25102957420226935,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_000_+03dB,dual/val/signals/EQFM_BFSK_000_000_+03dB.npy,EQFM,BFSK,4,6,3,0.25102957420226935,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_000_+06dB,dual/val/signals/EQFM_BFSK_000_000_+06dB.npy,EQFM,BFSK,4,6,6,0.25102957420226935,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_000_+09dB,dual/val/signals/EQFM_BFSK_000_000_+09dB.npy,EQFM,BFSK,4,6,9,0.25102957420226935,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_000_+12dB,dual/val/signals/EQFM_BFSK_000_000_+12dB.npy,EQFM,BFSK,4,6,12,0.25102957420226935,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_000_+15dB,dual/val/signals/EQFM_BFSK_000_000_+15dB.npy,EQFM,BFSK,4,6,15,0.25102957420226935,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_000_+18dB,dual/val/signals/EQFM_BFSK_000_000_+18dB.npy,EQFM,BFSK,4,6,18,0.25102957420226935,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_001_-12dB,dual/val/signals/EQFM_BFSK_000_001_-12dB.npy,EQFM,BFSK,4,6,-12,0.36278252056610044,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_001_-09dB,dual/val/signals/EQFM_BFSK_000_001_-09dB.npy,EQFM,BFSK,4,6,-9,0.36278252056610044,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_001_-06dB,dual/val/signals/EQFM_BFSK_000_001_-06dB.npy,EQFM,BFSK,4,6,-6,0.36278252056610044,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_001_-03dB,dual/val/signals/EQFM_BFSK_000_001_-03dB.npy,EQFM,BFSK,4,6,-3,0.36278252056610044,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_001_+00dB,dual/val/signals/EQFM_BFSK_000_001_+00dB.npy,EQFM,BFSK,4,6,0,0.36278252056610044,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_001_+03dB,dual/val/signals/EQFM_BFSK_000_001_+03dB.npy,EQFM,BFSK,4,6,3,0.36278252056610044,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_001_+06dB,dual/val/signals/EQFM_BFSK_000_001_+06dB.npy,EQFM,BFSK,4,6,6,0.36278252056610044,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_001_+09dB,dual/val/signals/EQFM_BFSK_000_001_+09dB.npy,EQFM,BFSK,4,6,9,0.36278252056610044,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_001_+12dB,dual/val/signals/EQFM_BFSK_000_001_+12dB.npy,EQFM,BFSK,4,6,12,0.36278252056610044,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_001_+15dB,dual/val/signals/EQFM_BFSK_000_001_+15dB.npy,EQFM,BFSK,4,6,15,0.36278252056610044,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_001_+18dB,dual/val/signals/EQFM_BFSK_000_001_+18dB.npy,EQFM,BFSK,4,6,18,0.36278252056610044,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_002_-12dB,dual/val/signals/EQFM_BFSK_000_002_-12dB.npy,EQFM,BFSK,4,6,-12,0.3943210154457916,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_002_-09dB,dual/val/signals/EQFM_BFSK_000_002_-09dB.npy,EQFM,BFSK,4,6,-9,0.3943210154457916,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_002_-06dB,dual/val/signals/EQFM_BFSK_000_002_-06dB.npy,EQFM,BFSK,4,6,-6,0.3943210154457916,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_002_-03dB,dual/val/signals/EQFM_BFSK_000_002_-03dB.npy,EQFM,BFSK,4,6,-3,0.3943210154457916,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_002_+00dB,dual/val/signals/EQFM_BFSK_000_002_+00dB.npy,EQFM,BFSK,4,6,0,0.3943210154457916,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_002_+03dB,dual/val/signals/EQFM_BFSK_000_002_+03dB.npy,EQFM,BFSK,4,6,3,0.3943210154457916,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_002_+06dB,dual/val/signals/EQFM_BFSK_000_002_+06dB.npy,EQFM,BFSK,4,6,6,0.3943210154457916,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_002_+09dB,dual/val/signals/EQFM_BFSK_000_002_+09dB.npy,EQFM,BFSK,4,6,9,0.3943210154457916,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_002_+12dB,dual/val/signals/EQFM_BFSK_000_002_+12dB.npy,EQFM,BFSK,4,6,12,0.3943210154457916,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_002_+15dB,dual/val/signals/EQFM_BFSK_000_002_+15dB.npy,EQFM,BFSK,4,6,15,0.3943210154457916,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_002_+18dB,dual/val/signals/EQFM_BFSK_000_002_+18dB.npy,EQFM,BFSK,4,6,18,0.3943210154457916,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_BFSK_000_003_-12dB,dual/val/signals/EQFM_BFSK_000_003_-12dB.npy,EQFM,BFSK,4,6,-12,0.49695282312390876,1,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
