signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
Frank_P4_000_000_-12dB,dual/val/signals/Frank_P4_000_000_-12dB.npy,Frank,P4,9,13,-12,0.2936143859439634,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_000_-09dB,dual/val/signals/Frank_P4_000_000_-09dB.npy,Frank,P4,9,13,-9,0.2936143859439634,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_000_-06dB,dual/val/signals/Frank_P4_000_000_-06dB.npy,Frank,P4,9,13,-6,0.2936143859439634,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_000_-03dB,dual/val/signals/Frank_P4_000_000_-03dB.npy,Frank,P4,9,13,-3,0.2936143859439634,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_000_+00dB,dual/val/signals/Frank_P4_000_000_+00dB.npy,Frank,P4,9,13,0,0.2936143859439634,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_000_+03dB,dual/val/signals/Frank_P4_000_000_+03dB.npy,Frank,P4,9,13,3,0.2936143859439634,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_000_+06dB,dual/val/signals/Frank_P4_000_000_+06dB.npy,Frank,P4,9,13,6,0.2936143859439634,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_000_+09dB,dual/val/signals/Frank_P4_000_000_+09dB.npy,Frank,P4,9,13,9,0.2936143859439634,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_000_+12dB,dual/val/signals/Frank_P4_000_000_+12dB.npy,Frank,P4,9,13,12,0.2936143859439634,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_000_+15dB,dual/val/signals/Frank_P4_000_000_+15dB.npy,Frank,P4,9,13,15,0.2936143859439634,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_000_+18dB,dual/val/signals/Frank_P4_000_000_+18dB.npy,Frank,P4,9,13,18,0.2936143859439634,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
