signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
MLFM_BFSK_000_000_-12dB,dual/val/signals/MLFM_BFSK_000_000_-12dB.npy,MLFM,BFSK,3,6,-12,0.34572778381867514,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_000_-09dB,dual/val/signals/MLFM_BFSK_000_000_-09dB.npy,MLFM,BFSK,3,6,-9,0.34572778381867514,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_000_-06dB,dual/val/signals/MLFM_BFSK_000_000_-06dB.npy,MLFM,BFSK,3,6,-6,0.34572778381867514,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_000_-03dB,dual/val/signals/MLFM_BFSK_000_000_-03dB.npy,MLFM,BFSK,3,6,-3,0.34572778381867514,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_000_+00dB,dual/val/signals/MLFM_BFSK_000_000_+00dB.npy,MLFM,BFSK,3,6,0,0.34572778381867514,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_000_+03dB,dual/val/signals/MLFM_BFSK_000_000_+03dB.npy,MLFM,BFSK,3,6,3,0.34572778381867514,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_000_+06dB,dual/val/signals/MLFM_BFSK_000_000_+06dB.npy,MLFM,BFSK,3,6,6,0.34572778381867514,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_000_+09dB,dual/val/signals/MLFM_BFSK_000_000_+09dB.npy,MLFM,BFSK,3,6,9,0.34572778381867514,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_000_+12dB,dual/val/signals/MLFM_BFSK_000_000_+12dB.npy,MLFM,BFSK,3,6,12,0.34572778381867514,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_000_+15dB,dual/val/signals/MLFM_BFSK_000_000_+15dB.npy,MLFM,BFSK,3,6,15,0.34572778381867514,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
