signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
DLFM_DLFM_000_000_-12dB,dual/val/signals/DLFM_DLFM_000_000_-12dB.npy,DLFM,DLFM,2,2,-12,0.429353152187235,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_000_-09dB,dual/val/signals/DLFM_DLFM_000_000_-09dB.npy,DLFM,DLFM,2,2,-9,0.429353152187235,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_000_-06dB,dual/val/signals/DLFM_DLFM_000_000_-06dB.npy,DLFM,DLFM,2,2,-6,0.429353152187235,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_000_-03dB,dual/val/signals/DLFM_DLFM_000_000_-03dB.npy,DLFM,DLFM,2,2,-3,0.429353152187235,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_000_+00dB,dual/val/signals/DLFM_DLFM_000_000_+00dB.npy,DLFM,DLFM,2,2,0,0.429353152187235,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_000_+03dB,dual/val/signals/DLFM_DLFM_000_000_+03dB.npy,DLFM,DLFM,2,2,3,0.429353152187235,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_000_+06dB,dual/val/signals/DLFM_DLFM_000_000_+06dB.npy,DLFM,DLFM,2,2,6,0.429353152187235,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_000_+09dB,dual/val/signals/DLFM_DLFM_000_000_+09dB.npy,DLFM,DLFM,2,2,9,0.429353152187235,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_000_+12dB,dual/val/signals/DLFM_DLFM_000_000_+12dB.npy,DLFM,DLFM,2,2,12,0.429353152187235,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_000_+15dB,dual/val/signals/DLFM_DLFM_000_000_+15dB.npy,DLFM,DLFM,2,2,15,0.429353152187235,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_000_+18dB,dual/val/signals/DLFM_DLFM_000_000_+18dB.npy,DLFM,DLFM,2,2,18,0.429353152187235,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_001_-12dB,dual/val/signals/DLFM_DLFM_000_001_-12dB.npy,DLFM,DLFM,2,2,-12,0.3098191960953217,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_001_-09dB,dual/val/signals/DLFM_DLFM_000_001_-09dB.npy,DLFM,DLFM,2,2,-9,0.3098191960953217,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_001_-06dB,dual/val/signals/DLFM_DLFM_000_001_-06dB.npy,DLFM,DLFM,2,2,-6,0.3098191960953217,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_001_-03dB,dual/val/signals/DLFM_DLFM_000_001_-03dB.npy,DLFM,DLFM,2,2,-3,0.3098191960953217,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_001_+00dB,dual/val/signals/DLFM_DLFM_000_001_+00dB.npy,DLFM,DLFM,2,2,0,0.3098191960953217,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_001_+03dB,dual/val/signals/DLFM_DLFM_000_001_+03dB.npy,DLFM,DLFM,2,2,3,0.3098191960953217,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_001_+06dB,dual/val/signals/DLFM_DLFM_000_001_+06dB.npy,DLFM,DLFM,2,2,6,0.3098191960953217,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_001_+09dB,dual/val/signals/DLFM_DLFM_000_001_+09dB.npy,DLFM,DLFM,2,2,9,0.3098191960953217,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_001_+12dB,dual/val/signals/DLFM_DLFM_000_001_+12dB.npy,DLFM,DLFM,2,2,12,0.3098191960953217,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_001_+15dB,dual/val/signals/DLFM_DLFM_000_001_+15dB.npy,DLFM,DLFM,2,2,15,0.3098191960953217,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_001_+18dB,dual/val/signals/DLFM_DLFM_000_001_+18dB.npy,DLFM,DLFM,2,2,18,0.3098191960953217,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_002_-12dB,dual/val/signals/DLFM_DLFM_000_002_-12dB.npy,DLFM,DLFM,2,2,-12,0.4413894613019499,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_002_-09dB,dual/val/signals/DLFM_DLFM_000_002_-09dB.npy,DLFM,DLFM,2,2,-9,0.4413894613019499,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_002_-06dB,dual/val/signals/DLFM_DLFM_000_002_-06dB.npy,DLFM,DLFM,2,2,-6,0.4413894613019499,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_002_-03dB,dual/val/signals/DLFM_DLFM_000_002_-03dB.npy,DLFM,DLFM,2,2,-3,0.4413894613019499,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_002_+00dB,dual/val/signals/DLFM_DLFM_000_002_+00dB.npy,DLFM,DLFM,2,2,0,0.4413894613019499,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_002_+03dB,dual/val/signals/DLFM_DLFM_000_002_+03dB.npy,DLFM,DLFM,2,2,3,0.4413894613019499,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_002_+06dB,dual/val/signals/DLFM_DLFM_000_002_+06dB.npy,DLFM,DLFM,2,2,6,0.4413894613019499,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_002_+09dB,dual/val/signals/DLFM_DLFM_000_002_+09dB.npy,DLFM,DLFM,2,2,9,0.4413894613019499,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_002_+12dB,dual/val/signals/DLFM_DLFM_000_002_+12dB.npy,DLFM,DLFM,2,2,12,0.4413894613019499,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
DLFM_DLFM_000_002_+15dB,dual/val/signals/DLFM_DLFM_000_002_+15dB.npy,DLFM,DLFM,2,2,15,0.4413894613019499,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
