signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
LFM_LFM_BPSK_000_000_-12dB,dual/val/signals/LFM_LFM_BPSK_000_000_-12dB.npy,LFM,LFM_BPSK,1,14,-12,0.44601730224412284,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
LFM_LFM_BPSK_000_000_-09dB,dual/val/signals/LFM_LFM_BPSK_000_000_-09dB.npy,LFM,LFM_BPSK,1,14,-9,0.44601730224412284,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
LFM_LFM_BPSK_000_000_-06dB,dual/val/signals/LFM_LFM_BPSK_000_000_-06dB.npy,LFM,LFM_BPSK,1,14,-6,0.44601730224412284,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
LFM_LFM_BPSK_000_000_-03dB,dual/val/signals/LFM_LFM_BPSK_000_000_-03dB.npy,LFM,LFM_BPSK,1,14,-3,0.44601730224412284,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
LFM_LFM_BPSK_000_000_+00dB,dual/val/signals/LFM_LFM_BPSK_000_000_+00dB.npy,LFM,LFM_BPSK,1,14,0,0.44601730224412284,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
LFM_LFM_BPSK_000_000_+03dB,dual/val/signals/LFM_LFM_BPSK_000_000_+03dB.npy,LFM,LFM_BPSK,1,14,3,0.44601730224412284,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
LFM_LFM_BPSK_000_000_+06dB,dual/val/signals/LFM_LFM_BPSK_000_000_+06dB.npy,LFM,LFM_BPSK,1,14,6,0.44601730224412284,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
LFM_LFM_BPSK_000_000_+09dB,dual/val/signals/LFM_LFM_BPSK_000_000_+09dB.npy,LFM,LFM_BPSK,1,14,9,0.44601730224412284,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
LFM_LFM_BPSK_000_000_+12dB,dual/val/signals/LFM_LFM_BPSK_000_000_+12dB.npy,LFM,LFM_BPSK,1,14,12,0.44601730224412284,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
LFM_LFM_BPSK_000_000_+15dB,dual/val/signals/LFM_LFM_BPSK_000_000_+15dB.npy,LFM,LFM_BPSK,1,14,15,0.44601730224412284,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
LFM_LFM_BPSK_000_000_+18dB,dual/val/signals/LFM_LFM_BPSK_000_000_+18dB.npy,LFM,LFM_BPSK,1,14,18,0.44601730224412284,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
LFM_LFM_BPSK_000_001_-12dB,dual/val/signals/LFM_LFM_BPSK_000_001_-12dB.npy,LFM,LFM_BPSK,1,14,-12,0.4884813026552356,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
LFM_LFM_BPSK_000_001_-09dB,dual/val/signals/LFM_LFM_BPSK_000_001_-09dB.npy,LFM,LFM_BPSK,1,14,-9,0.4884813026552356,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
LFM_LFM_BPSK_000_001_-06dB,dual/val/signals/LFM_LFM_BPSK_000_001_-06dB.npy,LFM,LFM_BPSK,1,14,-6,0.4884813026552356,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
LFM_LFM_BPSK_000_001_-03dB,dual/val/signals/LFM_LFM_BPSK_000_001_-03dB.npy,LFM,LFM_BPSK,1,14,-3,0.4884813026552356,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
LFM_LFM_BPSK_000_001_+00dB,dual/val/signals/LFM_LFM_BPSK_000_001_+00dB.npy,LFM,LFM_BPSK,1,14,0,0.4884813026552356,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
LFM_LFM_BPSK_000_001_+03dB,dual/val/signals/LFM_LFM_BPSK_000_001_+03dB.npy,LFM,LFM_BPSK,1,14,3,0.4884813026552356,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
LFM_LFM_BPSK_000_001_+06dB,dual/val/signals/LFM_LFM_BPSK_000_001_+06dB.npy,LFM,LFM_BPSK,1,14,6,0.4884813026552356,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
LFM_LFM_BPSK_000_001_+09dB,dual/val/signals/LFM_LFM_BPSK_000_001_+09dB.npy,LFM,LFM_BPSK,1,14,9,0.4884813026552356,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
