signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
EQFM_SFM_000_000_-12dB,dual/val/signals/EQFM_SFM_000_000_-12dB.npy,EQFM,SFM,4,5,-12,0.39444290102130763,1,0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_SFM_000_000_-09dB,dual/val/signals/EQFM_SFM_000_000_-09dB.npy,EQFM,SFM,4,5,-9,0.39444290102130763,1,0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_SFM_000_000_-06dB,dual/val/signals/EQFM_SFM_000_000_-06dB.npy,EQFM,SFM,4,5,-6,0.39444290102130763,1,0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_SFM_000_000_-03dB,dual/val/signals/EQFM_SFM_000_000_-03dB.npy,EQFM,SFM,4,5,-3,0.39444290102130763,1,0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_SFM_000_000_+00dB,dual/val/signals/EQFM_SFM_000_000_+00dB.npy,EQFM,SFM,4,5,0,0.39444290102130763,1,0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_SFM_000_000_+03dB,dual/val/signals/EQFM_SFM_000_000_+03dB.npy,EQFM,SFM,4,5,3,0.39444290102130763,1,0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_SFM_000_000_+06dB,dual/val/signals/EQFM_SFM_000_000_+06dB.npy,EQFM,SFM,4,5,6,0.39444290102130763,1,0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_SFM_000_000_+09dB,dual/val/signals/EQFM_SFM_000_000_+09dB.npy,EQFM,SFM,4,5,9,0.39444290102130763,1,0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_SFM_000_000_+12dB,dual/val/signals/EQFM_SFM_000_000_+12dB.npy,EQFM,SFM,4,5,12,0.39444290102130763,1,0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_SFM_000_000_+15dB,dual/val/signals/EQFM_SFM_000_000_+15dB.npy,EQFM,SFM,4,5,15,0.39444290102130763,1,0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_SFM_000_000_+18dB,dual/val/signals/EQFM_SFM_000_000_+18dB.npy,EQFM,SFM,4,5,18,0.39444290102130763,1,0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_SFM_000_001_-12dB,dual/val/signals/EQFM_SFM_000_001_-12dB.npy,EQFM,SFM,4,5,-12,0.4625568789125993,1,0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_SFM_000_001_-09dB,dual/val/signals/EQFM_SFM_000_001_-09dB.npy,EQFM,SFM,4,5,-9,0.4625568789125993,1,0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
