signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
P1_0000_-12dB,single/val/signals/P1_0000_-12dB.npy,P1,10,-12,"{'f0': 0.3094845998278829, 'N': np.int64(7), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
P1_0000_-06dB,single/val/signals/P1_0000_-06dB.npy,P1,10,-6,"{'f0': 0.3094845998278829, 'N': np.int64(7), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
P1_0000_+00dB,single/val/signals/P1_0000_+00dB.npy,P1,10,0,"{'f0': 0.3094845998278829, 'N': np.int64(7), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
P1_0000_+06dB,single/val/signals/P1_0000_+06dB.npy,P1,10,6,"{'f0': 0.3094845998278829, 'N': np.int64(7), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
P1_0000_+12dB,single/val/signals/P1_0000_+12dB.npy,P1,10,12,"{'f0': 0.3094845998278829, 'N': np.int64(7), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
P1_0000_+18dB,single/val/signals/P1_0000_+18dB.npy,P1,10,18,"{'f0': 0.3094845998278829, 'N': np.int64(7), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
P1_0001_-12dB,single/val/signals/P1_0001_-12dB.npy,P1,10,-12,"{'f0': 0.3150056307740757, 'N': np.int64(8), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
P1_0001_-06dB,single/val/signals/P1_0001_-06dB.npy,P1,10,-6,"{'f0': 0.3150056307740757, 'N': np.int64(8), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
P1_0001_+00dB,single/val/signals/P1_0001_+00dB.npy,P1,10,0,"{'f0': 0.3150056307740757, 'N': np.int64(8), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
P1_0001_+06dB,single/val/signals/P1_0001_+06dB.npy,P1,10,6,"{'f0': 0.3150056307740757, 'N': np.int64(8), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
P1_0001_+12dB,single/val/signals/P1_0001_+12dB.npy,P1,10,12,"{'f0': 0.3150056307740757, 'N': np.int64(8), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
P1_0001_+18dB,single/val/signals/P1_0001_+18dB.npy,P1,10,18,"{'f0': 0.3150056307740757, 'N': np.int64(8), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
